year,region,inside,outside,total,violations,saudi,non-saudi,all males
2016,Riyadh,114408,27328,141736,,2376366,2365870,4742236
2016,Makkah,101507,33331,134838,,2253782,2485601,4739383
2016,Madinah,7451,7024,14475,,679709,486512,1166221
2016,Al-Qasseem,15389,10275,25664,,502110,298819,800929
2016,Eastern Region,72821,28798,101619,,1608377,1262425,2870802
2016,Asir,21453,11231,32684,,851074,333386,1184460
2016,Tabouk,13118,2913,16031,,365286,135510,500796
2016,Hail region,6189,4010,10199,,262044,115945,377989
2016,Northern Boarder,11700,1496,13196,,143654,54114,197768
2016,Jazan,10395,15478,25873,,600984,229802,830786
2016,Najran,1649,1586,3235,,216883,98952,315835
2016,Al-Baha,2675,943,3618,,181231,68056,249287
2016,Al-Jouf,8462,1750,10212,,189864,93363,283227
2017,Riyadh,56760,43165,99925,2160975,2414876,2449390,4864266
2017,Makkah,118239,27302,145541,5438223,2290489,2574095,4864584
2017,Madinah,8868,7202,16070,994646,690678,503750,1194428
2017,Al-Qasseem,15033,7372,22405,528960,511037,310273,821310
2017,Eastern Region,56067,25366,81433,1096743,1634246,1307230,2941476
2017,Asir,18071,7174,25245,510021,864951,345185,1210136
2017,Tabouk,8713,3000,11713,156240,371087,140326,511413
2017,Hail region,4917,4462,9379,439217,266259,119951,386210
2017,Northern Boarder,10266,1274,11540,68002,145415,55767,201182
2017,Jazan,10291,11870,22161,288590,610691,237958,848649
2017,Najran,1228,1965,3193,111475,220335,102543,322878
2017,Al-Baha,894,520,1414,107322,184080,70447,254527
2017,Al-Jouf,8733,1736,10469,117390,192770,96644,289414
2018,Riyadh,45095,34789,79884,79884,2456385,2553601,5009986
2018,Makkah,86151,17822,103973,103973,2329857,2682710,5012567
2018,Madinah,15070,5477,20547,20547,702582,525084,1227666
2018,Al-Qasseem,12254,5256,17510,17510,519029,322511,841540
2018,Eastern Region,35937,9140,45077,45077,1662445,1362541,3024986
2018,Asir,17534,8430,25964,25964,879773,359818,1239591
2018,Tabouk,9183,851,10034,10034,377540,146251,523791
2018,Hail region,5242,1713,6955,6955,270875,125133,396008
2018,Northern Boarder,9505,1200,10705,10705,148473,58397,206870
2018,Jazan,10699,8873,19572,19572,621189,248017,869206
2018,Najran,1440,1684,3124,3124,224162,106791,330953
2018,Al-Baha,1224,540,1764,1764,187357,73447,260804
2018,Al-Jouf,5920,1435,7355,7355,196228,100760,296988